habitat_tags,morphology_tags,diet_tags,behavior_tags,reproduction_tags,habitat_note,morphology_note,diet_note,behavior_note,reproduction_note,reference_summary,created_at,updated_at,taxonomy_tags,species_id,geography_tags,conservation_tags,key_fact_tags,signature_tag,scientific_name
"{freshwater,riverine,aquatic,terrestrial}","{green_coloration,flattened_body,webbed_digits,brown_coloration,spotted}","{herpetivore,carnivore,piscivore,insect_eater,crustacean_eater}",{nest_builder},"{egg_laying,short_lived}",Adults perch on boulders at night and retreat under water during the day,Flat broad head huge hind legs and fully webbed feet as big as a human hand. rough grainy skin with speckled limbs,Diet: carnivore. Preys on: crabs; insects; fish; other frogs; small snakes. Plants: none,Males shift heavy stones to build nursery pools for eggs. Lacks vocal sac and communicates with short whistles and body movements,Reproduction: oviparous. Clutch: three hundred to eight hundred eggs. Lifespan: 15.000000000000000000000000000000 years,"Goliath Frog (Conraua goliath) — AMPHIBIA, Conrauidae. EN.",2026-04-12 02:53:32.369929+00,2026-04-12 02:53:32.369929+00,"{conrauidae,anura,conraua,amphibia}",11,{},{},{},,Conraua goliath
"{montane,forest,freshwater,riverine,aquatic,terrestrial}","{shelled,brown_coloration}","{frugivore,vermivore,scavenger,folivore,molluscivore,omnivore}","{diurnal,nest_builder,crepuscular}",{egg_laying},Secretive forest-floor dweller; favours deep leaf litter in closed-canopy rainforest up to 900 m,"Peaked vertebral keel; shell ridges mimic thorny forest seed pods.. Saw-toothed marginal scutes give a spiky outline, esp. in juveniles","Diet: Omnivore. Preys on: Snails, earthworms, carrion. Plants: Fallen figs, palm fruit, mushrooms, young leaves",Diurnal; shifts to crepuscular activity in hot weather; dives into pools when alarmed. Can emit a high-pitched squeala rarity among turtleswhen seized,Reproduction: Oviparous (egg-laying). Clutch: 14 eggs per clutch; up to 3 clutches yr. Lifespan: 40.000000000000000000000000000000 years,"Spiny Hill Turtle (Heosemys spinosa) — REPTILIA, Geoemydidae. EN.",2026-04-12 02:53:32.369929+00,2026-04-12 02:53:32.369929+00,"{testudines,geoemydidae,reptilia,heosemys}",12,{},{},{},,Heosemys spinosa
"{forest,freshwater,aquatic,terrestrial,wetland}","{rounded_body,red_coloration,flattened_body,spotted}","{vermivore,carnivore,insect_eater}","{toxic,inflates_defense}","{egg_laying,short_lived}",Spends daylight buried under leaf litter; emerges after heavy rain to breed in shallow pools,Plump round body with short limbs and wide flat head. Smooth skin with tiny pale flecks,Diet: Carnivore. Preys on: Ants; termites; small beetles; worms. Plants: None,Inflates like a balloon and exudes sticky toxin when grabbed. Males give a low honk call from the water edge on warm rainy nights,Reproduction: Oviparous. Clutch: From one thousand to fifteen hundred eggs. Lifespan: 8.000000000000000000000000000000 years,"Madagascar Tomato Frog (Dyscophus antongilii) — AMPHIBIA, Microhylidae. EN.",2026-04-12 02:53:32.369929+00,2026-04-12 02:53:32.369929+00,"{anura,dyscophus,amphibia,microhylidae}",13,{},{},{},,Dyscophus antongilii
"{coastal,scrubland,arid,terrestrial}","{tiny,rounded_body,yellow_coloration,brown_coloration}",{insect_eater},"{vocal,inflates_defense}","{egg_laying,short_lived}",Burrows in loose sand behind the beach line and surfaces at night when mist wets the ground,Round squat body with short limbs and chubby appearance. dark blotches on back with translucent skin on the sides,Diet: insectivore. Preys on: moths; termites; woodlice; small beetles. Plants: none,Inflates body and lets out a loud squeak when disturbed. Spends daylight hidden in self dug sand burrow,Reproduction: oviparous. Clutch: twelve to fifteen eggs. Lifespan: 6.000000000000000000000000000000 years,"Desert Rain Frog (Breviceps macrops) — AMPHIBIA, Brevicipitidae. NT.",2026-04-12 02:53:32.369929+00,2026-04-12 02:53:32.369929+00,"{breviceps,anura,brevicipitidae,amphibia}",14,{},{},{},,Breviceps macrops
"{scrubland,arid,terrestrial}","{shelled,flattened_body,brown_coloration,radiating_pattern}","{herbivore,folivore,grazer,succulent_feeder}","{climber,fast_runner}",{egg_laying},Flat-shelled climber that wedges into narrow rock cracks on sun-baked hillsides 301 800 m a.s.l.,"Ultra-flat, flexible shell with open-latticed bone; rear lump ossified.. Dark radiating lines camouflage on each scute","Diet: Herbivore (opportunistic). Plants: Dry grasses, succulents, leaves; seldom drinks free water",Runs & climbs with surprising speed; escapes by chimney-climbing into crevices.. Groups of up to 10 share the same crack; rare sociality for tortoises.,"Reproduction: Oviparous. Clutch: 1 egg per clutch, repeated every 48 wks in season. Lifespan: 30.000000000000000000000000000000 years","Pancake Tortoise (Malacochersus tornieri) — REPTILIA, Testudinidae. CR.",2026-04-12 02:53:32.369929+00,2026-04-12 02:53:32.369929+00,"{testudinidae,testudines,reptilia,malacochersus}",15,{},{},{},,Malacochersus tornieri
"{forest,freshwater,riverine,aquatic,terrestrial}","{purple_coloration,tiny,rounded_body,specialized_snout}",{insect_eater},"{burrower,voiceless,ambush_predator}","{egg_laying,short_lived}",Lives two metres underground in loose humus rich soil then tunnels to forest streams for brief breeding burst,Round bloated body tiny eyes and a pointed pig snout perfect for termite digging. smooth balloon like skin with tiny dimples,Diet: insectivore. Preys on: termites; ants; tiny soil arthropods. Plants: none,Spends three hundred sixty days a year buried and silent emerging for just a couple of monsoon nights. Males call with a muffled honk while hidden under leaf litter near torrents,Reproduction: oviparous. Clutch: up to three thousand eggs. Lifespan: 7.000000000000000000000000000000 years,"Purple Frog (Nasikabatrachus sahyadrensis) — AMPHIBIA, Nasikabatrachidae. EN.",2026-04-12 02:53:32.369929+00,2026-04-12 02:53:32.369929+00,"{anura,nasikabatrachus,nasikabatrachidae,amphibia}",16,{},{},{},,Nasikabatrachus sahyadrensis
"{lentic,freshwater,tropical,arid,riverine,aquatic}","{grey_coloration,flipper_limbs,shelled,large_bodied,leathery_skin,brown_coloration,specialized_snout}","{crustacean_eater,frugivore,scavenger,folivore,molluscivore,omnivore,insect_eater}",{swimmer},{egg_laying},Fully aquatic species inhabiting turbid tropical rivers and still backwaters; nests on exposed sandbars late dry season.,"Flipper-like forelimbs, pig-like fleshy snout with nasal openings at tip, pliable shell covered in skin.. Smooth leathery shell without scutes","Diet: Omnivore. Preys on: Aquatic insects, freshwater prawns, snails, carrion. Plants: Figs, fallen fruit, riverine vegetation",Highly aquatic; surfaces briefly to breathe then cruises mid-water using marine-style flippers.. Females migrate en masse to sandy bars to lay eggs that remain in suspended development until first wet-season flood.,Reproduction: Oviparous (egg-laying). Clutch: 735 eggs; 12 clutches per year. Lifespan: 35.000000000000000000000000000000 years,"Pig-nosed Turtle (Carettochelys insculpta) — REPTILIA, Carettochelyidae. EN.",2026-04-12 02:53:32.369929+00,2026-04-12 02:53:32.369929+00,"{carettochelys,testudines,carettochelyidae,reptilia}",17,{},{},{},,Carettochelys insculpta
"{lentic,freshwater,riverine,aquatic}","{grey_coloration,shelled,large_bodied,leathery_skin,flattened_body,webbed_digits,brown_coloration,specialized_snout,spotted}","{folivore,molluscivore,herpetivore,omnivore,carnivore,piscivore,crustacean_eater}","{swimmer,ambush_predator,burrower}","{long_lived,egg_laying}","Prefers deep pools of large turbid rivers & associated lakes with soft, sandy or muddy substrates.","Flattened, leathery carapace; elongated tubular snout; powerful webbed limbs.. Fine pale speckles on carapace & limbs","Diet: Omnivore (carnivore-leaning). Preys on: Fish, crabs, snails, frogs. Plants: Aquatic vegetation (e.g., water hyacinth)","Secretive; surfaces briefly to breathe, spends most time buried in mud.. Capable of bimodal respiration, absorbing oxygen through pharyngeal lining.",Reproduction: Oviparous (egg-laying). Clutch: 2080 eggs per clutch. Lifespan: 100.000000000000000000000000000000 years,"Yangtze Giant Softshell Turtle (Rafetus swinhoei) — REPTILIA, Trionychidae. CR.",2026-04-12 02:53:32.369929+00,2026-04-12 02:53:32.369929+00,"{rafetus,testudines,reptilia,trionychidae}",18,{},{},{},,Rafetus swinhoei
"{scrubland,arid,volcanic,terrestrial}","{shelled,large_bodied,dark_coloration,brown_coloration}","{frugivore,herbivore,grazer,succulent_feeder}",{diurnal},"{long_lived,egg_laying}","Uses arid cactus lowlands in the cool season and migrates to lush, humid highlands during the wet season","Massive elephant-like limbs, long neck, variable shell profile.. Carapace either domed or saddle-backed depending on subspecies","Diet: Herbivore. Preys on: N/A. Plants: Grasses, forbs, cactus pads, fallen fruit; can survive > 12 months without fresh food or water by slowing metabolism",Diurnal; may rest up to 16 h day?? under vegetation or in mud wallows. Seasonal altitudinal migrations track plant growth and moisture,Reproduction: Oviparous (egg-laying). Clutch: 416 eggs per clutch; 12 clutches yr. Lifespan: 177.000000000000000000000000000000 years,"Galapagos Giant Tortoise (Chelonoidis niger) — REPTILIA, Testudinidae. VU.",2026-04-12 02:53:32.369929+00,2026-04-12 02:53:32.369929+00,"{testudinidae,testudines,chelonoidis,reptilia}",19,{},{},{},,Chelonoidis niger
"{scrubland,arid,terrestrial}","{large_bodied,yellow_coloration,spined}","{herbivore,grazer,succulent_feeder}","{crepuscular,burrower}","{long_lived,egg_laying}",Burrow-dwelling grazer that escapes blistering heat in tunnels up to 3 m deep and 10 m long.,"Massive forelimbs armoured with overlapping scales; hind legs sport conical spurs that inspired its name.. Elevated growth annuli on each scute give a rugged, saddle-backed look.","Diet: Herbivore. Plants: Coarse grasses, forbs, succulents, fallen dry-season blooms; gains moisture from drought-resistant plants.","Crepuscular; emerges at dawn and dusk to forage, retreating underground during midday extremes.. Males ram and clash loudly in dominance bouts, sometimes flipping rivals onto their backs.",Reproduction: Oviparous. Clutch: 1530. Lifespan: 70.000000000000000000000000000000 years,"African Spurred Tortoise (Centrochelys sulcata) — REPTILIA, Testudinidae. VU.",2026-04-12 02:53:32.369929+00,2026-04-12 02:53:32.369929+00,"{testudinidae,testudines,reptilia,centrochelys}",20,{},{},{},,Centrochelys sulcata
"{forest,terrestrial}","{shelled,yellow_coloration,domed_shell,radiating_pattern}","{frugivore,herbivore,grazer,succulent_feeder}",{diurnal},"{long_lived,egg_laying}","Prefers dry regions of brush, thorn (Diderae) forests, and woodlands of southern Madagascar.","High-domed carapace with smooth (not pyramidal) scutes, a blunt head, and elephantine feet.. Brilliant yellow lines radiating from the center of each dark shell plate, creating a 'star' pattern.","Diet: Herbivore. Preys on: N/A. Plants: Grazes on grasses, fruit, and succulent plants. A favorite food is the Opuntia cactus. Prefers new growth over mature growth.","Diurnal (active during the day). Known to graze regularly in the same area, keeping vegetation trimmed.. Males perform noisy mating rituals, bobbing heads and sometimes lifting the female with their shell.",Reproduction: Oviparous (egg-laying). Clutch: 3 to 12 eggs. Lifespan: 188.000000000000000000000000000000 years,"Radiated Tortoise (Astrochelys radiata) — REPTILIA, Testudinidae. CR.",2026-04-12 02:53:32.369929+00,2026-04-12 02:53:32.369929+00,"{testudinidae,testudines,reptilia,astrochelys}",21,{},{},{},,Astrochelys radiata
"{montane,forest,volcanic,terrestrial}","{grey_coloration,shelled,large_bodied,saddleback_shell,dark_coloration}","{frugivore,herbivore,grazer,succulent_feeder}","{diurnal,ecosystem_engineer}","{long_lived,egg_laying}","Inhabited deciduous forests, evergreen montane forests, and humid grasslands. Juveniles stayed in the warmer lowland areas.","Characterized by a prominent saddleback-shaped carapace, which distinguishes it from dome-shelled tortoises.. Distinctive saddleback-shaped carapace.","Diet: Herbivore. Preys on: N/A. Plants: Fed primarily on greens, grasses, native fruit, and low-hanging cactus pads.","Diurnal (active during the day). Rested for about 16 hours a day.. A critical ecosystem engineer, shaping the island's vegetation through herbivory and seed dispersal.",Reproduction: Oviparous (egg-laying). Clutch: Unknown. Lifespan: 125.000000000000000000000000000000 years,"Pinta Island Tortoise (Chelonoidis abingdonii) — REPTILIA, Testudinidae. EX.",2026-04-12 02:53:32.369929+00,2026-04-12 02:53:32.369929+00,"{testudinidae,testudines,chelonoidis,reptilia}",22,{},{},{},,Chelonoidis abingdonii
