id,species_id,method,observation_text,inference_text,trait_category,primary_predicate,compare_tags,is_signature,specificity,source,review_status,created_at
81,28,listen,Eight calibrated recordings resolve a low-frequency signal carried through the substrate.,Retain candidates with the replicated signal: a low-frequency signal carried through the substrate.,key_fact,research_signal:substrate_vibration,{research_signal:substrate_vibration},f,3,https://www.mammaldiversity.org/taxon/1000521/,reviewed,2026-07-19 04:20:34.021515+00
82,28,survey,Initial habitat readings support a diet not specialized on large vertebrate prey.,Retain candidates consistent with the broad signal: a diet not specialized on large vertebrate prey.,key_fact,research_signal:not_large_prey_specialist,{research_signal:not_large_prey_specialist},f,1,https://www.mammaldiversity.org/taxon/1000521/,reviewed,2026-07-19 04:20:34.021515+00
83,28,survey,Four survey plots replicate feeding activity along tropical forest edges.,Retain candidates with the replicated signal: feeding activity along tropical forest edges.,key_fact,research_signal:forest_edge_feeding,{research_signal:forest_edge_feeding},f,2,https://www.mammaldiversity.org/taxon/1000521/,reviewed,2026-07-19 04:20:34.021515+00
84,28,survey,Eight mapped plots resolve feeding activity along tropical forest edges.,Retain candidates with the replicated signal: feeding activity along tropical forest edges.,key_fact,research_signal:forest_edge_feeding,{research_signal:forest_edge_feeding},f,3,https://www.mammaldiversity.org/taxon/1000521/,reviewed,2026-07-19 04:20:34.021515+00
85,28,analyze,A preliminary sample supports routine travel in contact with the ground.,Retain candidates consistent with the broad signal: routine travel in contact with the ground.,key_fact,research_signal:ground_contact_travel,{research_signal:ground_contact_travel},f,1,https://www.mammaldiversity.org/taxon/1000521/,reviewed,2026-07-19 04:20:34.021515+00
86,28,analyze,Four replicate samples confirm an endangered megafauna profile.,Retain candidates with the replicated signal: an endangered megafauna profile.,key_fact,research_signal:endangered_megafauna_cohort,{research_signal:endangered_megafauna_cohort},f,2,https://www.mammaldiversity.org/taxon/1000521/,reviewed,2026-07-19 04:20:34.021515+00
87,28,analyze,Eight high-resolution assays resolve an endangered megafauna profile.,Retain candidates with the replicated signal: an endangered megafauna profile.,key_fact,research_signal:endangered_megafauna_cohort,{research_signal:endangered_megafauna_cohort},f,3,https://www.mammaldiversity.org/taxon/1000521/,reviewed,2026-07-19 04:20:34.021515+00
21,28,analyze,Reproductive records show gestation lasts nearly twenty-two months.,This exceptionally long gestation is the case signature.,reproduction,signature:nearly_twenty_two_month_gestation,{signature:nearly_twenty_two_month_gestation},t,3,https://nationalzoo.si.edu/animals/asian-elephant,reviewed,2026-07-11 17:24:21.584256+00
15,28,track,"Very broad, deep prints indicate a heavy, robust frame.",Retain candidates with a robust body plan.,morphology,body_plan:robust,{body_plan:robust},f,2,https://nationalzoo.si.edu/animals/asian-elephant,legacy,2026-07-11 17:24:21.584256+00
16,28,track,A well-used trail crosses broad grassy openings.,Retain candidates associated with grassland habitat.,habitat,habitat_tag:grassland,{habitat_tag:grassland},f,2,https://nationalzoo.si.edu/animals/asian-elephant,legacy,2026-07-11 17:24:21.584256+00
17,28,observe,Related adults and young travel together as a cohesive group.,Retain candidates that normally form herds.,behavior,sociality:herd,{sociality:herd},f,3,https://nationalzoo.si.edu/animals/asian-elephant,legacy,2026-07-11 17:24:21.584256+00
18,28,observe,"Feeding observations show grasses, bark, roots, and other plants.",Retain candidates with a herbivorous diet.,diet,diet_type:herbivore,{diet_type:herbivore},f,3,https://nationalzoo.si.edu/animals/asian-elephant,legacy,2026-07-11 17:24:21.584256+00
19,28,survey,Fresh sign continues into humid rainforest cover.,Retain candidates associated with rainforest habitat.,habitat,habitat_tag:rainforest,{habitat_tag:rainforest},f,1,https://nationalzoo.si.edu/animals/asian-elephant,legacy,2026-07-11 17:24:21.584256+00
20,28,survey,Long-term monitoring records calves across successive breeding cycles.,Retain candidates with an iteroparous life history.,reproduction,parity:iteroparous,{parity:iteroparous},f,1,https://nationalzoo.si.edu/animals/asian-elephant,legacy,2026-07-11 17:24:21.584256+00
88,24,track,Partial field signs indicate routine travel in contact with the ground.,Retain candidates consistent with the broad signal: routine travel in contact with the ground.,key_fact,research_signal:ground_contact_travel,{research_signal:ground_contact_travel},f,1,https://www.mammaldiversity.org/taxon/1005796/,reviewed,2026-07-19 04:20:34.021515+00
89,24,track,Four separated trail segments replicate a repeated digging trace.,Retain candidates with the replicated signal: a repeated digging trace.,key_fact,research_signal:digging_trace,{research_signal:digging_trace},f,2,https://www.mammaldiversity.org/taxon/1005796/,reviewed,2026-07-19 04:20:34.021515+00
90,24,track,Eight aligned trace points resolve a repeated digging trace.,Retain candidates with the replicated signal: a repeated digging trace.,key_fact,research_signal:digging_trace,{research_signal:digging_trace},f,3,https://www.mammaldiversity.org/taxon/1005796/,reviewed,2026-07-19 04:20:34.021515+00
91,24,observe,A brief sighting indicates a diet not specialized on large vertebrate prey.,Retain candidates consistent with the broad signal: a diet not specialized on large vertebrate prey.,key_fact,research_signal:not_large_prey_specialist,{research_signal:not_large_prey_specialist},f,1,https://www.mammaldiversity.org/taxon/1005796/,reviewed,2026-07-19 04:20:34.021515+00
92,24,observe,Four independent sightings replicate foraging above ground in trees.,Retain candidates with the replicated signal: foraging above ground in trees.,key_fact,research_signal:arboreal_foraging,{research_signal:arboreal_foraging},f,2,https://www.mammaldiversity.org/taxon/1005796/,reviewed,2026-07-19 04:20:34.021515+00
93,24,observe,Eight timed sightings resolve foraging above ground in trees.,Retain candidates with the replicated signal: foraging above ground in trees.,key_fact,research_signal:arboreal_foraging,{research_signal:arboreal_foraging},f,3,https://www.mammaldiversity.org/taxon/1005796/,reviewed,2026-07-19 04:20:34.021515+00
94,24,listen,A short listening sample supports a body mass below one tonne.,Retain candidates consistent with the broad signal: a body mass below one tonne.,key_fact,research_signal:subtonne_body_mass,{research_signal:subtonne_body_mass},f,1,https://www.mammaldiversity.org/taxon/1005796/,reviewed,2026-07-19 04:20:34.021515+00
95,24,listen,Four listening stations replicate long quiet intervals from a solitary animal.,Retain candidates with the replicated signal: long quiet intervals from a solitary animal.,key_fact,research_signal:solitary_quiet,{research_signal:solitary_quiet},f,2,https://www.mammaldiversity.org/taxon/1005796/,reviewed,2026-07-19 04:20:34.021515+00
96,24,listen,Eight calibrated recordings resolve long quiet intervals from a solitary animal.,Retain candidates with the replicated signal: long quiet intervals from a solitary animal.,key_fact,research_signal:solitary_quiet,{research_signal:solitary_quiet},f,3,https://www.mammaldiversity.org/taxon/1005796/,reviewed,2026-07-19 04:20:34.021515+00
97,24,survey,Initial habitat readings support a range outside the Sahara.,Retain candidates consistent with the broad signal: a range outside the Sahara.,key_fact,research_signal:non_saharan_range,{research_signal:non_saharan_range},f,1,https://www.mammaldiversity.org/taxon/1005796/,reviewed,2026-07-19 04:20:34.021515+00
98,24,survey,Four survey plots replicate feeding activity along tropical forest edges.,Retain candidates with the replicated signal: feeding activity along tropical forest edges.,key_fact,research_signal:forest_edge_feeding,{research_signal:forest_edge_feeding},f,2,https://www.mammaldiversity.org/taxon/1005796/,reviewed,2026-07-19 04:20:34.021515+00
99,24,survey,Eight mapped plots resolve feeding activity along tropical forest edges.,Retain candidates with the replicated signal: feeding activity along tropical forest edges.,key_fact,research_signal:forest_edge_feeding,{research_signal:forest_edge_feeding},f,3,https://www.mammaldiversity.org/taxon/1005796/,reviewed,2026-07-19 04:20:34.021515+00
100,24,analyze,A preliminary sample supports a body larger than mouse-sized.,Retain candidates consistent with the broad signal: a body larger than mouse-sized.,key_fact,research_signal:larger_than_mouse,{research_signal:larger_than_mouse},f,1,https://www.mammaldiversity.org/taxon/1005796/,reviewed,2026-07-19 04:20:34.021515+00
101,24,analyze,Four replicate samples confirm a prominent keratin-based defensive structure.,Retain candidates with the replicated signal: a prominent keratin-based defensive structure.,key_fact,research_signal:keratin_defense,{research_signal:keratin_defense},f,2,https://www.mammaldiversity.org/taxon/1005796/,reviewed,2026-07-19 04:20:34.021515+00
102,24,analyze,Eight high-resolution assays resolve a prominent keratin-based defensive structure.,Retain candidates with the replicated signal: a prominent keratin-based defensive structure.,key_fact,research_signal:keratin_defense,{research_signal:keratin_defense},f,3,https://www.mammaldiversity.org/taxon/1005796/,reviewed,2026-07-19 04:20:34.021515+00
28,24,analyze,Maternal records show a youngster riding at the base of the mother's tail.,This unusual position for carrying young is the case signature.,reproduction,signature:young_rides_at_mothers_tail_base,{signature:young_rides_at_mothers_tail_base},t,3,https://www.pangolinsg.org/wp-content/uploads/sites/35/2018/06/Lim_Ng_2007_Home-range-activity-cycle-and-natal-den-usage-of-a-female-Sunda-pangolin-in-Singapore.pdf,reviewed,2026-07-11 17:24:21.584256+00
22,24,track,"Fresh trail sign lies beneath a humid, closed forest canopy.",Retain candidates associated with rainforest habitat.,habitat,habitat_tag:rainforest,{habitat_tag:rainforest},f,1,https://www.nparks.gov.sg/florafaunaweb/fauna/2/1/212,legacy,2026-07-11 17:24:21.584256+00
23,24,track,The freshest tracks and feeding marks appear after dark.,Retain candidates with a nocturnal activity pattern.,behavior,activity_pattern:nocturnal,{activity_pattern:nocturnal},f,2,https://www.pangolinsg.org/wp-content/uploads/sites/35/2018/06/Lim_Ng_2007_Home-range-activity-cycle-and-natal-den-usage-of-a-female-Sunda-pangolin-in-Singapore.pdf,legacy,2026-07-11 17:24:21.584256+00
24,24,observe,Repeated detections show one adult moving without companions.,Retain candidates that are normally solitary.,behavior,sociality:solitary,{sociality:solitary},f,3,https://www.nparks.gov.sg/florafaunaweb/fauna/2/1/212,legacy,2026-07-11 17:24:21.584256+00
25,24,observe,The animal climbs and travels along branches above the ground.,Retain candidates with arboreal locomotion.,behavior,locomotion:arboreal,{locomotion:arboreal},f,3,https://www.nparks.gov.sg/florafaunaweb/fauna/2/1/212,legacy,2026-07-11 17:24:21.584256+00
26,24,survey,Feeding sites contain remains from ants and termites.,Retain candidates with an insectivorous diet.,diet,diet_type:insectivore,{diet_type:insectivore},f,3,https://www.nparks.gov.sg/florafaunaweb/fauna/2/1/212,legacy,2026-07-11 17:24:21.584256+00
27,24,survey,Excavated soil bears paired grooves from powerful digging claws.,Retain candidates with specialized digging claws.,morphology,distinctive_features:claws_digging,{distinctive_features:claws_digging},f,3,https://www.nparks.gov.sg/florafaunaweb/fauna/2/1/212,legacy,2026-07-11 17:24:21.584256+00
103,25,track,Partial field signs indicate a body larger than mouse-sized.,Retain candidates consistent with the broad signal: a body larger than mouse-sized.,key_fact,research_signal:larger_than_mouse,{research_signal:larger_than_mouse},f,1,https://nationalzoo.si.edu/animals/tiger,reviewed,2026-07-19 04:20:34.021515+00
104,25,track,"Four separated trail segments replicate a large, load-bearing ground impression.","Retain candidates with the replicated signal: a large, load-bearing ground impression.",key_fact,research_signal:large_ground_impression,{research_signal:large_ground_impression},f,2,https://nationalzoo.si.edu/animals/tiger,reviewed,2026-07-19 04:20:34.021515+00
105,25,track,"Eight aligned trace points resolve a large, load-bearing ground impression.","Retain candidates with the replicated signal: a large, load-bearing ground impression.",key_fact,research_signal:large_ground_impression,{research_signal:large_ground_impression},f,3,https://nationalzoo.si.edu/animals/tiger,reviewed,2026-07-19 04:20:34.021515+00
106,25,observe,A brief sighting indicates body cover without overlapping scales.,Retain candidates consistent with the broad signal: body cover without overlapping scales.,key_fact,research_signal:non_scaled_body_cover,{research_signal:non_scaled_body_cover},f,1,https://nationalzoo.si.edu/animals/tiger,reviewed,2026-07-19 04:20:34.021515+00
107,25,observe,Four independent sightings replicate predation on vertebrate prey.,Retain candidates with the replicated signal: predation on vertebrate prey.,key_fact,research_signal:vertebrate_predation,{research_signal:vertebrate_predation},f,2,https://nationalzoo.si.edu/animals/tiger,reviewed,2026-07-19 04:20:34.021515+00
108,25,observe,Eight timed sightings resolve predation on vertebrate prey.,Retain candidates with the replicated signal: predation on vertebrate prey.,key_fact,research_signal:vertebrate_predation,{research_signal:vertebrate_predation},f,3,https://nationalzoo.si.edu/animals/tiger,reviewed,2026-07-19 04:20:34.021515+00
109,25,listen,A short listening sample supports routine travel in contact with the ground.,Retain candidates consistent with the broad signal: routine travel in contact with the ground.,key_fact,research_signal:ground_contact_travel,{research_signal:ground_contact_travel},f,1,https://nationalzoo.si.edu/animals/tiger,reviewed,2026-07-19 04:20:34.021515+00
110,25,listen,Four listening stations replicate long quiet intervals from a solitary animal.,Retain candidates with the replicated signal: long quiet intervals from a solitary animal.,key_fact,research_signal:solitary_quiet,{research_signal:solitary_quiet},f,2,https://nationalzoo.si.edu/animals/tiger,reviewed,2026-07-19 04:20:34.021515+00
111,25,listen,Eight calibrated recordings resolve long quiet intervals from a solitary animal.,Retain candidates with the replicated signal: long quiet intervals from a solitary animal.,key_fact,research_signal:solitary_quiet,{research_signal:solitary_quiet},f,3,https://nationalzoo.si.edu/animals/tiger,reviewed,2026-07-19 04:20:34.021515+00
112,25,survey,Initial habitat readings support a body mass below one tonne.,Retain candidates consistent with the broad signal: a body mass below one tonne.,key_fact,research_signal:subtonne_body_mass,{research_signal:subtonne_body_mass},f,1,https://nationalzoo.si.edu/animals/tiger,reviewed,2026-07-19 04:20:34.021515+00
