id,category,label,compare_tags,reveal_order,unlock_mode,base_cost,is_filtering,created_at,species_id
345,reproduction,Reproduction: Oviparous. Clutch: four to ten eggs. Lifespan: 10 years,"{metamorphosis,egg_laying,short_lived,oral_brooding}",1,fragment,2,t,2026-04-12 03:02:50.757208+00,3
70,morphology,Primary color: Leaf green or bark brown. Pattern: Pointed nose and triangular head mimic fallen leaf,"{green_coloration,brown_coloration}",2,fragment,3,t,2026-04-12 02:54:11.560457+00,3
147,behavior,Diurnal sit and wait hunter that chirps a soft peep call and basks in sun patches,{vocal},2,fragment,3,t,2026-04-12 02:54:11.560457+00,3
213,taxonomy,"Family: Rhinodermatidae, Genus: Rhinoderma","{rhinodermatidae,rhinoderma}",2,score,120,t,2026-04-12 02:54:11.560457+00,3
125,behavior,Male shelters developing tadpoles inside vocal sac; releases live froglets from mouth,{parental_care},1,fragment,2,t,2026-04-12 02:54:11.560457+00,3
301,geography,Elevation sea level to one thousand one hundred meter in coastal and Andean ranges,,1,score,50,f,2026-04-12 02:54:11.560457+00,3
279,key_fact,Perfect leaf disguise lets it vanish among forest litter,,3,score,100,f,2026-04-12 02:54:11.560457+00,3
45,morphology,"Has a high, domed upper shell (carapace) and a hinged lower shell (plastron) that allows it to close completely.","{shelled,domed_shell,dark_coloration,brown_coloration,spotted}",1,fragment,2,t,2026-04-12 02:54:11.560457+00,1
46,morphology,"Has a flat, leathery, pancake-like shell instead of a hard dome, and a long, snorkel-like snout.","{shelled,large_bodied,leathery_skin,flattened_body,domed_shell,brown_coloration,specialized_snout,spotted}",1,fragment,2,t,2026-04-12 02:54:11.560457+00,2
48,morphology,Small flat body with long slender limbs and tiny webbing,"{tiny,green_coloration,flattened_body,webbed_digits,brown_coloration,slender}",1,fragment,2,t,2026-04-12 02:54:11.560457+00,3
4,habitat,Lives in freshwater aquatic environments,"{temperate,forest,freshwater,riverine,aquatic,terrestrial,wetland}",1,fragment,2,t,2026-04-12 02:54:11.560457+00,3
346,reproduction,"Reproduction: Oviparous. Clutch: 13 eggs per clutch, up to 2 clutches per year. Lifespan: 30 years",{egg_laying},1,fragment,2,t,2026-04-12 03:02:50.757208+00,4
114,diet,Plant diet: Occasional fruit or fallen figs,{frugivore},2,fragment,3,t,2026-04-12 02:54:11.560457+00,4
71,morphology,Primary color: Chocolate-brown carapace. Pattern: Serrated posterior rim and pale bridge mottling,"{spined,brown_coloration}",2,fragment,3,t,2026-04-12 02:54:11.560457+00,4
27,habitat,"Nocturnal stream-bank ambusher that hides beneath flat rocks in clear, fast water up to 1 200 m elevation.","{montane,nocturnal_habitat,rocky,riverine}",2,fragment,3,t,2026-04-12 02:54:11.560457+00,4
148,behavior,Aggressive when handled; delivers powerful bite and emits a raspy hiss.,{aggressive},2,fragment,3,t,2026-04-12 02:54:11.560457+00,4
214,taxonomy,"Family: Platysternidae, Genus: Platysternon","{platysternon,platysternidae}",2,score,120,t,2026-04-12 02:54:11.560457+00,4
126,behavior,"Climbs waterfalls using tail, claws and beak; can scale vertical mossy rock.","{climber,bone_claw_defense}",1,fragment,2,t,2026-04-12 02:54:11.560457+00,4
302,geography,"Scattered headwaters across southern China, Hainan, Myanmar, Thailand, Laos and Vietnam.",,1,score,50,f,2026-04-12 02:54:11.560457+00,4
280,key_fact,"Represents an entire family on its own, no close living relatives share its quirky build.",,3,score,100,f,2026-04-12 02:54:11.560457+00,4
49,morphology,"Enormous head fixed outside the shell; hooked beak, long prehensile tail and vise-like jaws.","{shelled,brown_coloration,beak,prehensile_tail}",1,fragment,2,t,2026-04-12 02:54:11.560457+00,4
5,habitat,Lives in freshwater aquatic environments,"{montane,forest,freshwater,riverine,aquatic,terrestrial}",1,fragment,2,t,2026-04-12 02:54:11.560457+00,4
347,reproduction,Reproduction: Oviparous. Clutch: 200–1000 eggs. Lifespan: 8 years,"{egg_laying,short_lived}",1,fragment,2,t,2026-04-12 03:02:50.757208+00,5
28,habitat,"Spends most of its life 20–30 m up in emergent trees, gliding between trunks and descending only to mate.","{forest,arboreal}",2,fragment,3,t,2026-04-12 02:54:11.560457+00,5
72,morphology,Primary color: Vivid leaf-green dorsal. Pattern: Huge yellow toe pads and jet-black membranes give the feet a superhero-cape look.,"{yellow_coloration,green_coloration,dark_coloration}",2,fragment,3,t,2026-04-12 02:54:11.560457+00,5
149,behavior,"At dusk, pairs build frothy, golf-ball-size nests on leaves that hang above rain-filled pools.",{nest_builder},2,fragment,3,t,2026-04-12 02:54:11.560457+00,5
215,taxonomy,"Family: Rhacophoridae, Genus: Rhacophorus","{rhacophorus,rhacophoridae}",2,score,120,t,2026-04-12 02:54:11.560457+00,5
127,behavior,"Launches from branches and glides up to 15 m, steering with outstretched webbed fingers and toes.",{glider},1,fragment,2,t,2026-04-12 02:54:11.560457+00,5
303,geography,"Sea level to roughly 600 m throughout Sundaland, wherever closed-canopy forest still stands.",,1,score,50,f,2026-04-12 02:54:11.560457+00,5
281,key_fact,"First described by Alfred Russel Wallace’s expedition, hence a name that literally ‘flies’ in evolutionary history.",,3,score,100,f,2026-04-12 02:54:11.560457+00,5
6,habitat,Lives in freshwater aquatic environments,"{forest,lentic,freshwater,tropical,aquatic,terrestrial}",1,fragment,2,t,2026-04-12 02:54:11.560457+00,5
348,reproduction,Reproduction: oviparous. Clutch: twenty to fifty eggs. Lifespan: 5 years,"{egg_laying,short_lived}",1,fragment,2,t,2026-04-12 03:02:50.757208+00,6
73,morphology,Primary color: bright leaf green. Pattern: large crimson eyes and white belly with smooth skin,"{red_coloration,leathery_skin,green_coloration}",2,fragment,3,t,2026-04-12 02:54:11.560457+00,6
29,habitat,Spends nights clinging to broad leaves high above forest ponds then descends to lay eggs on overhanging vegetation,"{forest,aquatic}",2,fragment,3,t,2026-04-12 02:54:11.560457+00,6
150,behavior,Egg clutches jiggle when attacked so tadpoles drop into water early to escape,"{parental_care,anti_predator}",2,fragment,3,t,2026-04-12 02:54:11.560457+00,6
216,taxonomy,"Family: Phyllomedusidae, Genus: Agalychnis","{agalychnis,phyllomedusidae}",2,score,120,t,2026-04-12 02:54:11.560457+00,6
128,behavior,Flashes red eyes and blue flanks to startle predators then snaps them shut to vanish,{startle_display},1,fragment,2,t,2026-04-12 02:54:11.560457+00,6
89,diet,"Diet type: Omnivore. Preys on: crayfish, small animals, carrion","{scavenger,omnivore,piscivore,crustacean_eater}",1,fragment,2,t,2026-04-12 02:54:11.560457+00,1
90,diet,"Diet type: Omnivore (Primarily Carnivore). Preys on: crayfish, fish, insects, snails, carrion","{scavenger,folivore,molluscivore,omnivore,carnivore,piscivore,insect_eater,crustacean_eater}",1,fragment,2,t,2026-04-12 02:54:11.560457+00,2
92,diet,Diet type: Carnivore. Preys on: Ants; springtails; small beetles; spiders,"{carnivore,insect_eater}",1,fragment,2,t,2026-04-12 02:54:11.560457+00,3
93,diet,"Diet type: Carnivore (opportunistic). Preys on: Snails, crabs, freshwater shrimp, small fish, carrion","{crustacean_eater,frugivore,scavenger,molluscivore,carnivore,piscivore}",1,fragment,2,t,2026-04-12 02:54:11.560457+00,4
94,diet,Diet type: Carnivore. Preys on: Moths; crickets; beetles; arboreal spiders,"{carnivore,insect_eater}",1,fragment,2,t,2026-04-12 02:54:11.560457+00,5
304,geography,Sea level to about seven hundred metres across humid Caribbean lowlands and patchy Pacific slopes,,1,score,50,f,2026-04-12 02:54:11.560457+00,6
282,key_fact,Eggs sense snake vibrations and can hatch early turning aerial ambush into splash escape,,3,score,100,f,2026-04-12 02:54:11.560457+00,6
238,key_fact,Iconic frog with traffic light colours that advertises the rainforest in posters worldwide,,1,score,60,f,2026-04-12 02:54:11.560457+00,6
95,diet,Diet type: insectivore. Preys on: moths; crickets; flies; small grasshoppers,{insect_eater},1,fragment,2,t,2026-04-12 02:54:11.560457+00,6
7,habitat,Lives in freshwater aquatic environments,"{forest,freshwater,tropical,riverine,aquatic,terrestrial}",1,fragment,2,t,2026-04-12 02:54:11.560457+00,6
74,morphology,Primary color: mossy olive brown. Pattern: broad dark mid-back band with black limbs,"{striped,dark_coloration,brown_coloration}",2,fragment,3,t,2026-04-12 02:54:11.560457+00,7
30,habitat,Adults hide along rocky forest torrents by day then prowl banks on humid nights,"{forest,rocky}",2,fragment,3,t,2026-04-12 02:54:11.560457+00,7
151,behavior,Males grow ‘hair’ that boosts skin breathing during underwater egg guarding,"{parental_care,bimodal_respiration,dermal_respiration}",2,fragment,3,t,2026-04-12 02:54:11.560457+00,7
217,taxonomy,"Family: Arthroleptidae, Genus: Trichobatrachus","{trichobatrachus,arthroleptidae}",2,score,120,t,2026-04-12 02:54:11.560457+00,7
129,behavior,Breaks its own toe bones to project sharp claws when grabbed,{bone_claw_defense},1,fragment,2,t,2026-04-12 02:54:11.560457+00,7
305,geography,Lowland to mid-elevation 30–1500 m across Central African equatorial belt,,1,score,50,f,2026-04-12 02:54:11.560457+00,7
283,key_fact,Frog is roasted and eaten in Cameroon where hunters spear it in rivers,,3,score,100,f,2026-04-12 02:54:11.560457+00,7
261,key_fact,Hairy flanks are not fur but skin threads packed with blood vessels,,2,score,80,f,2026-04-12 02:54:11.560457+00,7
239,key_fact,Nicknamed Wolverine frog because it pops claws in self defence,,1,score,60,f,2026-04-12 02:54:11.560457+00,7
96,diet,Diet type: insectivore. Preys on: beetles; crickets; millipedes; small spiders,{insect_eater},1,fragment,2,t,2026-04-12 02:54:11.560457+00,7
8,habitat,Lives in freshwater aquatic environments,"{forest,freshwater,riverine,aquatic,terrestrial}",1,fragment,2,t,2026-04-12 02:54:11.560457+00,7
76,morphology,Primary color: mottled olive brown. Pattern: fine bumps and a dark eye stripe,"{rough_texture,striped,dark_coloration,brown_coloration}",2,fragment,3,t,2026-04-12 02:54:11.560457+00,8
32,habitat,Lives all year in frigid clear streams where water tumbles over stones; adults shelter in moist leaf litter nearby,"{forest,riverine}",2,fragment,3,t,2026-04-12 02:54:11.560457+00,8
153,behavior,Internal fertilisation underwater with the male tail organ,{internal_fertilization},2,fragment,3,t,2026-04-12 02:54:11.560457+00,8
219,taxonomy,"Family: Ascaphidae, Genus: Ascaphus","{ascaphidae,ascaphus}",2,score,120,t,2026-04-12 02:54:11.560457+00,8
98,diet,Diet type: insectivore. Preys on: aquatic insect larvae; small snails; spiders,"{molluscivore,insect_eater}",1,fragment,2,t,2026-04-12 02:54:11.560457+00,8
131,behavior,Voiceless frog that uses body signals instead of croaks beside roaring streams,{voiceless},1,fragment,2,t,2026-04-12 02:54:11.560457+00,8
307,geography,Elevation sea level to about two thousand metre across the Pacific Northwest and northern Rocky outliers,,1,score,50,f,2026-04-12 02:54:11.560457+00,8
285,key_fact,Adults are completely mute and cannot croak,,3,score,100,f,2026-04-12 02:54:11.560457+00,8
263,key_fact,Tadpoles cling to rocks like living limpets with a suction cup mouth,,2,score,80,f,2026-04-12 02:54:11.560457+00,8
241,key_fact,Only North American frog that mates with internal fertilisation thanks to a tail that is not really a tail,,1,score,60,f,2026-04-12 02:54:11.560457+00,8
10,habitat,Lives in freshwater aquatic environments,"{montane,forest,freshwater,riverine,aquatic,terrestrial}",1,fragment,2,t,2026-04-12 02:54:11.560457+00,8
77,morphology,Primary color: bright blue yellow black mix. Pattern: irregular stripes blotches and spots varying by morph,"{yellow_coloration,blue_coloration,striped,dark_coloration,spotted}",2,fragment,3,t,2026-04-12 02:54:11.560457+00,9
33,habitat,Active by day on damp forest floor around canopy gaps; requires small water pockets for tadpoles,{forest},2,fragment,3,t,2026-04-12 02:54:11.560457+00,9
154,behavior,Rarely calls; relies on vivid warning colours to deter predators,"{aposematic,vocal}",2,fragment,3,t,2026-04-12 02:54:11.560457+00,9
220,taxonomy,"Family: Dendrobatidae, Genus: Dendrobates","{dendrobatidae,dendrobates}",2,score,120,t,2026-04-12 02:54:11.560457+00,9
99,diet,Diet type: insectivore. Preys on: ants; termites; fruit flies; tiny beetles; mites,{insect_eater},1,fragment,2,t,2026-04-12 02:54:11.560457+00,9
132,behavior,Males guard eggs then ferry tadpoles piggyback to rain pools,{parental_care},1,fragment,2,t,2026-04-12 02:54:11.560457+00,9
308,geography,Sea level to about six hundred metres across the eastern Guiana Shield; especially common near streams that cross sandy soil,,1,score,50,f,2026-04-12 02:54:11.560457+00,9
286,key_fact,Blue ‘azureus’ morph lives on tiny forest islands in a vast savanna sea,,3,score,100,f,2026-04-12 02:54:11.560457+00,9
264,key_fact,One of the few dart frogs whose male rarely uses vocal calls,,2,score,80,f,2026-04-12 02:54:11.560457+00,9
242,key_fact,Its skin dyes parrot feathers in legends giving rise to the common name,,1,score,60,f,2026-04-12 02:54:11.560457+00,9
11,habitat,Lives in freshwater aquatic environments,"{forest,freshwater,tropical,aquatic,terrestrial}",1,fragment,2,t,2026-04-12 02:54:11.560457+00,9
78,morphology,Primary color: mottled brown grey. Pattern: speckled warty skin with rough ridges,"{grey_coloration,rough_texture,brown_coloration,spotted}",2,fragment,3,t,2026-04-12 02:54:11.560457+00,10
34,habitat,Lies motionless buried in leaf litter or soft mud on the floor of dark still waters,"{forest,muddy_substrate}",2,fragment,3,t,2026-04-12 02:54:11.560457+00,10
155,behavior,Males perform underwater somersaults while pressing eggs onto female back,"{parental_care,mating_acrobatics}",2,fragment,3,t,2026-04-12 02:54:11.560457+00,10
221,taxonomy,"Family: Pipidae, Genus: Pipa","{pipidae,pipa}",2,score,120,t,2026-04-12 02:54:11.560457+00,10
133,behavior,Creates instant vacuum to suck prey into tongueless mouth,{suction_feeder},1,fragment,2,t,2026-04-12 02:54:11.560457+00,10
309,geography,Sea level to four hundred metres across the Amazon and Orinoco drainage and coastal Guiana shield,,1,score,50,f,2026-04-12 02:54:11.560457+00,10
287,key_fact,Star shaped finger tips detect tiny ripples in pitch dark water,,3,score,100,f,2026-04-12 02:54:11.560457+00,10
265,key_fact,Gives birth to live froglets that erupt from pockets in mums back,,2,score,80,f,2026-04-12 02:54:11.560457+00,10
243,key_fact,Pancake flat body lets it vanish in leaf litter like a muddy doormat,,1,score,60,f,2026-04-12 02:54:11.560457+00,10
100,diet,Diet type: carnivore. Preys on: small fish; aquatic insects; worms; crustaceans,"{crustacean_eater,vermivore,carnivore,piscivore,insect_eater}",1,fragment,2,t,2026-04-12 02:54:11.560457+00,10
12,habitat,Lives in freshwater aquatic environments,"{forest,lentic,freshwater,riverine,aquatic,terrestrial,wetland}",1,fragment,2,t,2026-04-12 02:54:11.560457+00,10
156,behavior,Lacks vocal sac and communicates with short whistles and body movements,"{voiceless,social_display}",2,fragment,3,t,2026-04-12 02:54:11.560457+00,11
79,morphology,Primary color: olive green brown. Pattern: rough grainy skin with speckled limbs,"{rough_texture,green_coloration,brown_coloration,spotted}",2,fragment,3,t,2026-04-12 02:54:11.560457+00,11
35,habitat,Adults perch on boulders at night and retreat under water during the day,{rocky},2,fragment,3,t,2026-04-12 02:54:11.560457+00,11
222,taxonomy,"Family: Conrauidae, Genus: Conraua","{conrauidae,conraua}",2,score,120,t,2026-04-12 02:54:11.560457+00,11
134,behavior,Males shift heavy stones to build nursery pools for eggs,{nest_builder},1,fragment,2,t,2026-04-12 02:54:11.560457+00,11
57,morphology,Flat broad head huge hind legs and fully webbed feet as big as a human hand,"{green_coloration,flattened_body,webbed_digits,brown_coloration,spotted}",1,fragment,2,t,2026-04-12 02:54:11.560457+00,11
310,geography,Sea level to three hundred metres within a coastal corridor about one hundred fifty kilometres inland,,1,score,50,f,2026-04-12 02:54:11.560457+00,11
288,key_fact,Even with a giant adult the tadpole is no bigger than that of a common frog,,3,score,100,f,2026-04-12 02:54:11.560457+00,11
266,key_fact,Stone-moving parents males drag rocks half their weight to craft safe pools,,2,score,80,f,2026-04-12 02:54:11.560457+00,11
244,key_fact,Largest frog on Earth and able to leap three metres in a single bound,,1,score,60,f,2026-04-12 02:54:11.560457+00,11
101,diet,Diet type: carnivore. Preys on: crabs; insects; fish; other frogs; small snakes,"{herpetivore,carnivore,piscivore,insect_eater,crustacean_eater}",1,fragment,2,t,2026-04-12 02:54:11.560457+00,11
13,habitat,Lives in freshwater aquatic environments,"{freshwater,riverine,aquatic,terrestrial}",1,fragment,2,t,2026-04-12 02:54:11.560457+00,11
116,diet,"Plant diet: Fallen figs, palm fruit, mushrooms, young leaves","{frugivore,folivore,fungivore}",2,fragment,3,t,2026-04-12 02:54:11.560457+00,12
80,morphology,"Primary color: Chestnut to ebony. Pattern: Saw-toothed marginal scutes give a spiky outline, esp. in juveniles","{striped,spined,dark_coloration,brown_coloration}",2,fragment,3,t,2026-04-12 02:54:11.560457+00,12
36,habitat,Secretive forest-floor dweller; favours deep leaf litter in closed-canopy rainforest up to 900 m,{forest},2,fragment,3,t,2026-04-12 02:54:11.560457+00,12
157,behavior,"Can emit a high-pitched squeal, a rarity among turtles, when seized",{vocal},2,fragment,3,t,2026-04-12 02:54:11.560457+00,12
223,taxonomy,"Family: Geoemydidae, Genus: Heosemys","{geoemydidae,heosemys}",2,score,120,t,2026-04-12 02:54:11.560457+00,12
135,behavior,Diurnal; shifts to crepuscular activity in hot weather; dives into pools when alarmed,"{diurnal,nest_builder,crepuscular}",1,fragment,2,t,2026-04-12 02:54:11.560457+00,12
58,morphology,Peaked vertebral keel; shell ridges mimic thorny forest seed pods.,"{shelled,brown_coloration}",1,fragment,2,t,2026-04-12 02:54:11.560457+00,12
311,geography,Sundaland and Indochina; populations highly fragmented,,1,score,50,f,2026-04-12 02:54:11.560457+00,12
289,key_fact,"Its Latin name means thorny, yet traders dub it the Dracula Turtle for its fiery plastron",,3,score,100,f,2026-04-12 02:54:11.560457+00,12
267,key_fact,"If cornered, this turtle squeals like a rubber duck, startling predators and keepers alike",,2,score,80,f,2026-04-12 02:54:11.560457+00,12
245,key_fact,"Juveniles wear a jagged crown of shell spines, nature scaltrops in the leaf litter",,1,score,60,f,2026-04-12 02:54:11.560457+00,12
102,diet,"Diet type: Omnivore. Preys on: Snails, earthworms, carrion","{frugivore,vermivore,scavenger,folivore,molluscivore,omnivore}",1,fragment,2,t,2026-04-12 02:54:11.560457+00,12
14,habitat,Lives in freshwater aquatic environments,"{montane,forest,freshwater,riverine,aquatic,terrestrial}",1,fragment,2,t,2026-04-12 02:54:11.560457+00,12
81,morphology,Primary color: Tomato red. Pattern: Smooth skin with tiny pale flecks,"{red_coloration,leathery_skin,spotted}",2,fragment,3,t,2026-04-12 02:54:11.560457+00,13
37,habitat,Spends daylight buried under leaf litter; emerges after heavy rain to breed in shallow pools,"{forest,lentic}",2,fragment,3,t,2026-04-12 02:54:11.560457+00,13
158,behavior,Males give a low honk call from the water edge on warm rainy nights,{vocal},2,fragment,3,t,2026-04-12 02:54:11.560457+00,13
224,taxonomy,"Family: Microhylidae, Genus: Dyscophus","{dyscophus,microhylidae}",2,score,120,t,2026-04-12 02:54:11.560457+00,13
59,morphology,Plump round body with short limbs and wide flat head,"{rounded_body,red_coloration,flattened_body,spotted}",1,fragment,2,t,2026-04-12 02:54:11.560457+00,13
312,geography,Known mainly from towns near Antongil Bay such as Maroantsetra and Rantabe; low elevation coastal plain,,1,score,50,f,2026-04-12 02:54:11.560457+00,13
290,key_fact,Lives only in the same island that is home to lemurs and chameleons,,3,score,100,f,2026-04-12 02:54:11.560457+00,13
246,key_fact,Bright red skin makes it look like a bouncing tomato,,1,score,60,f,2026-04-12 02:54:11.560457+00,13
136,behavior,Inflates like a balloon and exudes sticky toxin when grabbed,"{toxic,inflates_defense}",1,fragment,2,t,2026-04-12 02:54:11.560457+00,13
103,diet,Diet type: Carnivore. Preys on: Ants; termites; small beetles; worms,"{vermivore,carnivore,insect_eater}",1,fragment,2,t,2026-04-12 02:54:11.560457+00,13
15,habitat,Lives in freshwater aquatic environments,"{forest,freshwater,aquatic,terrestrial,wetland}",1,fragment,2,t,2026-04-12 02:54:11.560457+00,13
83,morphology,Primary color: sandy brown. Pattern: dark blotches on back with translucent skin on the sides,"{yellow_coloration,dark_coloration,brown_coloration}",2,fragment,3,t,2026-04-12 02:54:11.560457+00,14
39,habitat,Burrows in loose sand behind the beach line and surfaces at night when mist wets the ground,{arid},2,fragment,3,t,2026-04-12 02:54:11.560457+00,14
160,behavior,Spends daylight hidden in self dug sand burrow,{burrower},2,fragment,3,t,2026-04-12 02:54:11.560457+00,14
226,taxonomy,"Family: Brevicipitidae, Genus: Breviceps","{breviceps,brevicipitidae}",2,score,120,t,2026-04-12 02:54:11.560457+00,14
105,diet,Diet type: insectivore. Preys on: moths; termites; woodlice; small beetles,{insect_eater},1,fragment,2,t,2026-04-12 02:54:11.560457+00,14
188,taxonomy,"Class: REPTILIA, Order: TESTUDINES","{testudines,reptilia}",1,score,80,t,2026-04-12 02:54:11.560457+00,1
189,taxonomy,"Class: REPTILIA, Order: TESTUDINES","{testudines,reptilia}",1,score,80,t,2026-04-12 02:54:11.560457+00,2
191,taxonomy,"Class: AMPHIBIA, Order: ANURA","{anura,amphibia}",1,score,80,t,2026-04-12 02:54:11.560457+00,3
192,taxonomy,"Class: REPTILIA, Order: TESTUDINES","{testudines,reptilia}",1,score,80,t,2026-04-12 02:54:11.560457+00,4
193,taxonomy,"Class: AMPHIBIA, Order: ANURA","{anura,amphibia}",1,score,80,t,2026-04-12 02:54:11.560457+00,5
194,taxonomy,"Class: AMPHIBIA, Order: ANURA","{anura,amphibia}",1,score,80,t,2026-04-12 02:54:11.560457+00,6
195,taxonomy,"Class: AMPHIBIA, Order: ANURA","{anura,amphibia}",1,score,80,t,2026-04-12 02:54:11.560457+00,7
197,taxonomy,"Class: AMPHIBIA, Order: ANURA","{anura,amphibia}",1,score,80,t,2026-04-12 02:54:11.560457+00,8
198,taxonomy,"Class: AMPHIBIA, Order: ANURA","{anura,amphibia}",1,score,80,t,2026-04-12 02:54:11.560457+00,9
199,taxonomy,"Class: AMPHIBIA, Order: ANURA","{anura,amphibia}",1,score,80,t,2026-04-12 02:54:11.560457+00,10
200,taxonomy,"Class: AMPHIBIA, Order: ANURA","{anura,amphibia}",1,score,80,t,2026-04-12 02:54:11.560457+00,11
201,taxonomy,"Class: REPTILIA, Order: TESTUDINES","{testudines,reptilia}",1,score,80,t,2026-04-12 02:54:11.560457+00,12
202,taxonomy,"Class: AMPHIBIA, Order: ANURA","{anura,amphibia}",1,score,80,t,2026-04-12 02:54:11.560457+00,13
61,morphology,Round squat body with short limbs and chubby appearance,"{tiny,rounded_body,yellow_coloration,brown_coloration}",1,fragment,2,t,2026-04-12 02:54:11.560457+00,14
314,geography,Found within ten kilometres of the Atlantic from Lüderitz Namibia to Port Nolloth South Africa,,1,score,50,f,2026-04-12 02:54:11.560457+00,14
292,key_fact,Can bury itself in seconds using shovel like hind feet,,3,score,100,f,2026-04-12 02:54:11.560457+00,14
270,key_fact,Relies on nightly sea fog for drinking water in the desert,,2,score,80,f,2026-04-12 02:54:11.560457+00,14
248,key_fact,Internet famous squeaky frog that looks like a puffball with eyes,,1,score,60,f,2026-04-12 02:54:11.560457+00,14
204,taxonomy,"Class: AMPHIBIA, Order: ANURA","{anura,amphibia}",1,score,80,t,2026-04-12 02:54:11.560457+00,14
138,behavior,Inflates body and lets out a loud squeak when disturbed,"{vocal,inflates_defense}",1,fragment,2,t,2026-04-12 02:54:11.560457+00,14
17,habitat,Exclusively land-dwelling,"{coastal,scrubland,arid,terrestrial}",1,fragment,2,t,2026-04-12 02:54:11.560457+00,14
120,diet,"Plant diet: Dry grasses, succulents, leaves; seldom drinks free water","{folivore,grazer,succulent_feeder}",2,fragment,3,t,2026-04-12 02:54:11.560457+00,15
86,morphology,Primary color: Brown-tan carapace. Pattern: Dark radiating lines camouflage on each scute,"{striped,dark_coloration,brown_coloration,radiating_pattern}",2,fragment,3,t,2026-04-12 02:54:11.560457+00,15
42,habitat,Flat-shelled climber that wedges into narrow rock cracks on sun-baked hillsides 301 800 m a.s.l.,"{montane,rocky}",2,fragment,3,t,2026-04-12 02:54:11.560457+00,15
163,behavior,Groups of up to 10 share the same crack; rare sociality for tortoises.,{social},2,fragment,3,t,2026-04-12 02:54:11.560457+00,15
229,taxonomy,"Family: Testudinidae, Genus: Malacochersus","{testudinidae,malacochersus}",2,score,120,t,2026-04-12 02:54:11.560457+00,15
108,diet,Diet type: Herbivore (opportunistic),"{herbivore,folivore,grazer,succulent_feeder}",1,fragment,2,t,2026-04-12 02:54:11.560457+00,15
64,morphology,"Ultra-flat, flexible shell with open-latticed bone; rear lump ossified.","{shelled,flattened_body,brown_coloration,radiating_pattern}",1,fragment,2,t,2026-04-12 02:54:11.560457+00,15
254,key_fact,"It has one of the longest generation times of any turtle, taking 36-47 years for one generation to replace the next.",,2,score,80,f,2026-04-12 02:54:11.560457+00,1
232,key_fact,"Its bottom shell (plastron) is hinged, allowing it to fully close up for protection.",,1,score,60,f,2026-04-12 02:54:11.560457+00,1
255,key_fact,"Has a very long, tubular snout with nostrils at the tip, which it uses like a snorkel to breathe while buried underwater.",,2,score,80,f,2026-04-12 02:54:11.560457+00,2
233,key_fact,"Its name comes from the small, cone-like spines found along the front edge of its upper shell.",,1,score,60,f,2026-04-12 02:54:11.560457+00,2
257,key_fact,Only frog whose male carries young in throat until fully formed,,2,score,80,f,2026-04-12 02:54:11.560457+00,3
235,key_fact,Discovered by Charles Darwin during voyage of the Beagle,,1,score,60,f,2026-04-12 02:54:11.560457+00,3
258,key_fact,"Its tail works like an extra limb, bracing the body as it climbs slick granite waterfalls.",,2,score,80,f,2026-04-12 02:54:11.560457+00,4
